sequence,move to front,opt,opt free,discrete doa,continuous doa
"3,2,3,1,2,3,1,2,3,0,2",36,27,28,32,28
"0,3,0,2,3,1,2,2,2,2,2",25,21,21,21,23
"0,0,0,0,0,0,0,0,3,3,3",14,14,14,14,14
"0,0,0,0,0,0,0,0,2,0,3",17,16,16,16,16
"0,1,1,1,1,3,1,2,3,0,2",26,22,22,22,24
"2,1,3,0,2,1,3,0,2,1,0",41,26,26,26,26
"1,3,0,2,0,1,0,3,2,1,0",37,24,24,24,24
"3,0,0,0,2,3,1,2,2,2,2",25,21,21,21,23
"0,0,0,0,0,0,1,1,0,0,0",13,13,13,13,13
"0,0,3,2,1,1,3,2,2,3,2",26,21,23,24,24
"2,3,1,0,2,3,1,0,2,1,0",41,26,26,26,26
"3,2,1,2,3,1,1,1,3,1,1",27,21,23,24,24
"0,0,3,2,1,2,3,1,3,1,1",27,21,23,24,24
"3,2,0,3,0,0,2,3,2,3,2",29,22,23,26,23
"3,0,2,3,0,0,2,3,0,0,3",29,22,22,26,22
"0,0,0,1,1,3,1,2,3,0,2",26,22,22,22,24
"3,2,3,0,2,1,3,2,3,1,2",35,26,27,31,27
"3,2,1,1,3,2,2,2,3,2,2",26,21,23,24,24
"1,1,3,2,3,0,2,1,1,0,0",29,24,24,26,27
"0,0,0,0,0,0,1,1,3,3,0",17,17,17,17,17
"0,0,0,0,0,0,0,0,1,3,2",18,17,17,17,17
"1,0,0,0,3,0,0,2,3,1,2",27,22,22,22,24
"0,2,1,1,1,1,1,3,2,3,2",22,19,21,21,21
"3,2,0,0,3,0,2,3,2,2,3",28,22,23,26,23
"0,1,1,1,3,1,2,3,0,2,2",26,22,22,22,24
"0,2,1,1,1,1,3,2,2,3,2",22,19,21,21,21
"0,3,3,2,1,0,1,2,0,2,0",30,24,24,27,27
"0,0,0,0,0,0,0,1,0,2,0",16,14,14,14,14
"0,3,2,0,3,0,2,3,0,0,3",29,22,22,26,22
"3,0,1,2,0,3,1,2,0,1,0",37,24,24,24,24
"1,0,3,0,2,1,0,3,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,0,1,2,3",17,17,17,17,17
"3,2,1,1,1,1,1,3,2,3,2",26,21,24,24,24
"1,1,1,3,2,3,0,2,1,0,1",30,24,24,26,27
"3,0,2,1,0,3,1,2,0,1,0",37,24,24,24,24
"0,0,0,0,3,2,3,1,2,0,1",28,23,23,24,26
"0,2,3,1,1,3,1,2,3,2,3",27,22,24,25,25
"1,0,3,2,3,1,2,0,1,0,0",31,24,24,26,27
"0,1,2,1,2,0,3,1,3,0,1",29,23,23,27,23
"3,0,2,3,1,2,2,2,2,2,2",25,21,21,21,23
"3,2,3,1,2,0,0,0,1,1,1",28,23,23,25,26
"0,0,3,0,0,2,3,1,2,0,2",29,22,22,22,24
"3,2,1,1,1,1,3,2,2,0,3",29,24,27,27,27
"2,3,1,3,1,1,1,2,3,2,3",27,22,25,25,25
"0,1,1,3,2,0,0,3,2,3,2",27,22,23,25,25
"0,2,3,1,3,1,3,2,1,2,1",28,22,24,25,25
"0,0,0,0,0,0,0,0,0,2,2",13,13,13,13,13
"0,0,0,0,0,0,1,1,3,3,3",15,15,15,15,15
"3,2,3,1,2,0,1,1,1,1,1",28,23,23,24,26
"0,0,0,3,2,1,2,3,1,3,1",27,21,23,24,24
"1,3,0,2,1,3,0,2,1,0,0",37,24,24,24,24
"0,0,0,0,0,0,0,0,2,2,1",15,15,15,15,15
"0,0,0,0,0,0,0,0,2,2,2",13,13,13,13,13
"0,0,0,0,0,0,1,2,2,1,1",15,15,15,15,15
"1,0,3,2,3,1,2,0,0,1,0",31,24,24,26,27
"0,0,0,0,0,0,0,1,0,3,0",17,15,15,15,15
"0,0,0,0,0,0,0,0,0,0,2",13,13,13,13,13
"3,0,2,1,0,1,3,0,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,2,0,0,2",15,14,14,15,14
"0,0,0,3,0,2,3,1,2,0,2",29,22,22,22,24
"0,0,3,0,0,0,2,3,1,2,2",25,21,21,21,23
"0,3,0,0,0,0,2,3,1,2,2",25,21,21,21,23
"0,1,3,1,2,3,0,2,2,2,2",26,22,22,22,24
"0,0,0,0,0,0,0,1,1,0,0",13,13,13,13,13
"0,1,1,3,1,1,1,2,3,0,2",26,22,22,22,24
"1,3,2,0,1,3,2,0,1,0,0",37,24,24,24,24
"0,0,0,0,0,0,0,3,0,0,3",16,15,15,16,15
"3,2,0,3,0,0,3,2,3,2,3",28,22,22,26,22
"3,0,2,3,0,0,2,3,2,3,2",29,22,23,26,23
"3,2,1,1,3,2,2,3,3,3,3",25,21,23,24,24
"3,0,1,2,0,3,1,0,2,1,0",37,24,24,24,24
"0,3,2,3,1,2,0,0,1,0,0",29,23,23,25,26
"0,0,0,0,0,0,0,0,3,2,0",19,16,16,16,16
"0,0,0,0,0,0,0,1,2,2,3",17,17,17,17,17
"3,2,1,1,1,3,2,2,0,3,2",31,24,27,27,27
"0,3,2,1,1,1,1,3,2,3,2",26,21,24,24,24
"1,1,1,1,1,3,1,2,3,0,2",26,22,22,22,24
"2,1,0,3,2,1,0,3,2,1,0",41,26,26,26,26
"1,3,2,0,1,0,0,3,2,1,0",37,24,24,24,24
"3,2,0,0,3,2,0,3,0,3,0",30,22,22,26,22
"3,2,0,3,0,3,2,0,2,0,0",29,22,22,26,22
"0,3,2,3,1,0,1,2,0,2,0",32,24,24,27,27
"0,0,0,0,0,0,0,0,0,2,1",15,14,14,14,14
"0,3,1,2,0,3,1,2,0,1,0",37,24,24,24,24
"0,0,0,0,0,0,1,1,2,3,3",17,17,17,17,17
"1,3,0,0,2,1,3,0,2,1,0",37,24,24,24,24
"0,3,2,1,1,1,3,2,0,2,3",30,24,27,27,27
"3,1,2,0,3,1,0,2,3,1,0",42,27,27,27,27
"0,3,1,0,2,1,3,0,2,1,0",37,24,24,24,24
"1,3,0,2,1,0,3,2,1,0,0",37,24,24,24,24
"0,3,0,0,2,3,1,2,2,2,0",28,22,22,22,24
"1,3,1,2,3,1,2,3,1,3,1",31,23,23,27,23
"0,1,0,3,2,1,1,3,2,2,3",27,22,23,25,25
"3,2,1,1,1,1,3,2,3,2,2",26,21,24,24,24
"0,0,0,0,0,0,0,1,0,1,3",17,16,16,16,16
"3,2,1,0,3,2,1,0,3,1,0",42,27,27,27,27
"3,2,1,1,1,3,2,2,0,2,3",30,24,27,27,27
"0,2,3,1,1,2,1,3,2,2,3",27,22,24,25,25
"3,2,0,2,3,1,0,3,1,0,3",36,26,27,31,27
"3,0,2,3,0,0,3,2,3,3,2",27,22,22,26,22
"0,3,0,2,3,0,2,3,0,3,0",30,22,22,26,22
"0,2,3,1,2,1,1,3,2,3,2",28,22,24,25,25
"3,1,0,2,3,1,0,2,3,1,0",42,27,27,27,27
"1,3,2,0,1,0,3,2,1,0,0",37,24,24,24,24
"3,2,3,1,2,0,1,2,1,0,2",35,27,27,32,29
"3,2,0,3,0,3,0,2,0,0,2",28,22,22,26,22
"0,0,3,2,1,2,3,1,1,3,1",27,21,23,24,24
"0,0,1,1,1,3,1,2,3,0,2",26,22,22,22,24
"0,3,2,1,2,3,1,1,3,1,1",27,21,23,24,24
"0,1,0,3,2,1,2,3,1,3,1",29,22,23,25,25
"0,0,0,0,0,0,0,0,0,3,2",17,16,16,16,16
"0,0,0,0,0,0,1,1,1,0,2",15,15,15,15,15
"2,0,2,1,3,0,3,1,0,0,1",29,23,23,27,23
"0,3,2,1,2,3,1,1,3,3,3",26,21,23,24,24
"1,0,0,0,3,2,3,1,2,0,1",30,24,24,25,27
"0,0,0,0,0,0,0,1,0,2,1",17,15,15,15,15
"0,2,1,1,1,1,3,2,2,2,3",21,19,21,21,21
"1,0,3,0,0,0,0,2,3,1,2",27,22,22,22,24
"0,3,0,2,3,1,2,2,0,0,0",28,22,22,22,24
"3,2,0,3,0,2,3,2,2,2,3",28,22,23,26,23
"0,2,1,1,1,3,2,2,2,3,3",21,19,21,21,21
"3,2,1,0,2,1,3,0,2,1,0",41,26,26,26,26
"0,0,0,0,0,0,0,1,0,1,0",15,13,13,13,13
"3,2,1,1,1,3,2,0,3,2,2",31,24,27,27,27
"3,2,1,1,1,3,2,3,2,0,2",30,24,27,27,27
"0,0,3,2,1,1,1,3,2,2,3",25,21,24,24,24
"0,0,0,3,2,1,2,3,1,1,3",26,21,23,24,24
"3,2,3,1,2,0,0,1,3,2,1",36,28,28,30,32
"0,0,0,0,0,0,0,1,3,3,3",15,15,15,15,15
"0,0,0,0,0,0,0,0,0,1,2",14,14,14,14,14
"2,3,1,0,2,1,0,3,2,1,0",41,26,26,26,26
"3,0,1,0,2,1,3,0,2,1,0",37,24,24,24,24
"0,3,2,1,2,3,1,1,1,1,3",26,21,23,24,24
"0,0,0,0,0,0,0,0,3,3,2",17,17,17,17,17
"0,3,2,3,1,2,0,0,0,0,1",28,23,23,25,26
"0,3,0,0,0,0,0,2,3,1,2",25,21,21,21,23
"0,0,0,0,0,0,0,1,0,0,1",14,13,13,13,13
"1,1,2,1,2,0,3,1,3,0,1",29,23,23,27,23
"2,2,3,1,0,1,3,0,0,3,3",28,23,23,26,26
"3,0,2,1,0,3,2,1,0,1,0",37,24,24,24,24
"1,1,3,2,3,0,2,1,0,1,1",30,24,24,26,27
"0,0,0,3,2,3,1,2,0,1,0",29,23,23,25,26
"0,0,0,0,0,0,0,1,0,3,1",18,16,16,16,16
"3,2,3,1,2,0,0,0,1,0,0",29,23,23,25,26
"1,3,0,2,1,0,3,2,0,1,0",37,24,24,24,24
"3,2,1,2,3,1,1,3,1,1,1",27,21,23,24,24
"0,0,0,0,0,0,0,1,0,2,2",15,14,14,14,14
"0,0,0,0,0,0,0,1,1,3,3",15,15,15,15,15
"0,0,2,1,1,1,1,3,2,2,3",21,19,21,21,21
"3,2,3,1,2,0,1,2,3,0,2",38,28,28,33,29
"1,1,1,3,1,1,1,2,3,0,2",26,22,22,22,24
"3,2,3,1,2,0,0,1,0,0,0",29,23,23,25,26
"3,2,1,1,1,3,2,2,3,3,1",27,23,26,26,26
"3,2,3,0,2,1,0,2,0,1,2",34,26,26,31,27
"3,0,2,2,3,0,0,1,3,2,1",32,27,27,27,30
"0,3,2,1,1,1,3,2,0,3,2",31,24,27,27,27
"1,1,1,1,3,1,1,2,3,0,2",26,22,22,22,24
"3,2,0,3,0,2,0,3,0,3,0",30,22,22,26,22
"1,3,2,0,1,3,2,0,0,1,0",37,24,24,24,24
"3,2,1,1,1,3,2,3,2,2,3",27,22,25,25,25
"0,2,1,2,3,0,3,1,0,0,1",29,23,23,26,26
"0,0,0,0,0,0,0,0,2,1,2",16,15,15,15,15
"3,2,0,3,0,3,2,0,0,2,0",29,22,22,26,22
"0,0,0,0,0,0,1,1,1,2,2",14,14,14,14,14
"0,0,0,0,0,0,0,0,0,0,0",11,11,11,11,11
"3,0,2,3,0,0,3,2,0,2,0",29,22,22,26,22
"3,2,3,1,2,0,1,2,0,3,2",37,28,28,33,29
"0,3,0,0,2,3,1,2,0,2,2",29,22,22,22,24
"0,0,0,0,0,3,0,2,3,1,2",25,21,21,21,23
"1,0,0,3,2,1,0,3,2,1,0",37,24,24,24,24
"0,1,3,2,0,1,3,0,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,0,3,0,2",18,16,16,16,16
"0,1,3,0,2,1,3,0,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,1,2,3,3,3",17,17,17,17,17
"0,0,0,0,0,0,0,1,0,0,2",15,14,14,14,14
"0,0,0,0,0,0,0,2,2,1,1",15,15,15,15,15
"0,0,0,0,0,0,1,1,0,2,3",18,18,18,18,18
"0,0,0,0,0,0,1,2,2,2,3",17,17,17,17,17
"3,2,1,2,3,1,3,0,1,2,0",36,28,29,32,32
"3,2,0,3,0,2,2,3,2,2,3",28,22,23,26,23
"0,3,2,1,1,2,2,3,1,1,3",26,22,24,25,25
"0,0,1,0,3,0,2,3,1,2,2",27,22,22,22,24
"3,0,2,3,0,3,0,2,0,0,2",28,22,22,26,22
"0,0,0,0,0,0,1,1,0,0,2",15,15,15,15,15
"3,2,0,3,2,0,0,3,0,0,3",29,22,22,26,22
"0,3,2,1,1,3,2,2,3,2,2",26,21,23,24,24
"2,3,1,1,3,3,3,2,1,1,2",25,22,25,25,25
"1,1,1,3,2,3,0,2,1,0,0",29,24,24,25,27
"0,0,0,0,0,0,0,3,3,1,2",19,19,19,19,19
"3,0,2,3,0,2,0,3,0,3,0",30,22,22,26,22
"3,0,2,0,3,0,2,3,2,3,2",29,22,23,26,23
"3,2,3,1,2,0,0,0,0,1,0",29,23,23,25,26
"0,3,2,3,1,2,0,1,1,0,1",30,24,24,26,27
"0,0,0,0,0,0,0,1,2,0,2",17,15,15,15,15
"2,3,1,1,3,1,1,2,3,3,2",26,22,25,25,25
"3,2,0,3,2,1,3,0,3,1,0",36,27,27,32,27
"0,0,3,2,1,1,1,3,2,3,2",26,21,24,24,24
"0,2,3,1,3,1,1,2,3,2,3",27,22,24,25,25
"3,2,1,1,1,3,2,2,3,2,3",27,22,25,25,25
"0,1,1,3,2,3,0,2,1,0,1",30,24,24,26,27
"0,0,3,0,2,3,1,2,2,2,0",28,22,22,22,24
"0,0,0,0,0,0,1,1,0,2,2",15,15,15,15,15
"0,0,0,0,0,0,1,1,1,1,0",13,13,13,13,13
"0,2,0,2,1,3,0,3,1,0,0",28,22,22,26,22
"3,2,0,3,0,2,3,2,2,3,2",29,22,23,26,23
"0,1,0,3,2,1,0,3,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,1,0,0,0",13,12,12,12,12
"3,2,0,0,3,0,2,3,2,3,2",29,22,23,26,23
"0,0,0,0,0,0,0,0,1,1,2",14,14,14,14,14
"0,0,0,0,0,0,0,2,2,2,3",16,16,16,16,16
"3,2,1,2,1,1,1,3,2,3,2",28,22,25,25,25
"0,1,1,3,2,0,0,3,2,2,3",26,22,23,25,25
"0,3,0,2,3,1,2,2,0,2,2",29,22,22,22,24
"0,0,0,0,0,0,0,1,1,3,1",16,15,15,15,15
"0,0,0,0,0,0,0,1,1,2,0",16,15,15,15,15
"3,2,3,0,2,1,0,2,1,0,2",35,26,26,31,27
"3,2,1,1,2,1,1,3,2,2,3",27,22,25,25,25
"0,0,0,0,0,0,0,1,0,3,3",16,15,15,15,15
"0,3,0,0,2,3,1,2,2,2,2",25,21,21,21,23
"0,3,2,0,3,0,2,3,0,3,0",30,22,22,26,22
"3,0,2,3,0,0,2,3,2,2,3",28,22,23,26,23
"0,3,0,0,2,3,1,2,2,0,0",28,22,22,22,24
"0,0,0,0,0,0,0,2,1,1,2",16,15,16,16,16
"1,1,3,1,1,1,1,2,3,0,2",26,22,22,22,24
"0,0,0,0,0,0,0,2,2,2,0",14,14,14,14,14
"0,3,2,1,0,1,3,2,0,1,0",37,24,24,24,24
"0,0,0,3,2,1,1,3,2,3,2",26,21,23,24,24
"0,0,0,0,0,0,1,1,1,1,3",15,15,15,15,15
"3,2,1,1,2,2,2,3,1,1,3",26,22,25,25,25
"3,2,1,1,1,3,2,2,3,3,0",28,24,27,27,27
"3,2,1,0,3,1,0,2,3,1,0",42,27,27,27,27
"3,0,2,3,0,0,3,2,3,2,3",28,22,22,26,22
"1,0,3,2,0,1,3,0,2,1,0",37,24,24,24,24
"3,2,1,2,3,1,1,1,3,3,3",26,21,23,24,24
"3,2,1,1,1,3,2,2,3,3,2",26,22,25,25,25
"0,0,0,0,0,0,1,1,0,0,1",14,14,14,14,14
"2,3,1,1,2,2,2,3,1,3,1",27,22,25,25,25
"1,1,1,3,1,2,3,0,2,2,2",26,22,22,22,24
"3,2,3,1,2,3,1,2,0,3,2",37,27,28,32,28
"0,1,3,1,1,1,1,2,3,0,2",26,22,22,22,24
"0,3,2,3,1,2,0,1,0,0,0",29,23,23,25,26
"3,2,0,3,2,0,3,0,3,0,0",30,22,22,26,22
"0,0,0,1,3,0,2,3,1,2,2",27,22,22,22,24
"3,2,1,1,1,1,3,2,3,0,2",30,24,27,27,27
"2,1,2,3,1,0,0,3,1,3,1",30,24,24,27,27
"0,0,0,0,0,0,0,1,0,3,2",19,17,17,17,17
"3,2,0,3,0,2,3,0,0,3,3",29,22,22,26,22
"2,1,2,3,1,3,0,1,0,1,1",29,23,23,26,26
"0,0,0,0,0,0,1,2,2,1,0",17,17,17,17,17
"0,0,0,0,0,0,0,1,2,3,3",17,17,17,17,17
"0,3,0,2,3,1,2,2,2,0,0",28,22,22,22,24
"0,0,2,1,1,1,3,2,2,3,3",21,19,21,21,21
"1,1,3,2,3,0,2,1,0,0,0",29,24,24,25,27
"0,0,0,1,3,0,0,2,3,1,2",27,22,22,22,24
"0,3,2,1,0,1,0,3,2,1,0",37,24,24,24,24
"0,0,0,1,3,1,1,2,3,0,2",26,22,22,22,24
"2,3,1,0,2,1,3,0,2,1,0",41,26,26,26,26
"3,2,0,3,0,2,3,2,3,2,2",29,22,23,26,23
"0,0,2,1,1,1,3,2,2,3,2",22,19,21,21,21
"0,1,1,3,2,3,0,2,1,0,0",29,24,24,25,27
"3,2,0,3,0,3,2,0,0,0,2",28,22,22,26,22
"0,0,0,0,0,0,0,0,1,3,0",17,15,15,15,15
"0,0,0,0,0,0,0,0,2,0,1",16,14,14,14,14
"2,3,1,1,2,2,2,3,1,1,3",26,22,25,25,25
"3,2,0,3,2,0,3,0,0,3,0",30,22,22,26,22
"0,0,0,0,0,0,0,0,0,1,0",13,12,12,12,12
"0,0,3,0,2,3,1,2,2,2,2",25,21,21,21,23
"0,0,1,0,3,2,3,1,2,0,1",30,24,24,25,27
"1,0,3,0,2,3,1,2,2,2,2",27,22,22,22,24
"0,1,3,0,2,1,0,3,2,1,0",37,24,24,24,24
"1,1,3,2,3,0,2,1,1,0,1",30,24,24,26,27
"3,1,0,0,2,1,3,0,2,1,0",37,24,24,24,24
"3,2,0,3,0,0,2,3,0,3,0",30,22,22,26,22
"0,0,0,0,0,0,0,0,0,1,3",15,15,15,15,15
"3,0,0,2,3,1,2,2,2,2,2",25,21,21,21,23
"1,3,2,1,3,1,2,3,1,3,1",31,23,23,27,23
"0,0,0,3,0,0,2,3,1,2,2",25,21,21,21,23
"0,0,0,0,0,0,0,0,3,2,3",18,17,17,17,17
"3,0,1,2,0,1,3,2,0,1,0",37,24,24,24,24
"3,0,1,2,3,0,1,0,2,1,0",37,24,24,24,24
"2,2,3,1,0,1,3,0,3,0,0",29,23,23,26,26
"0,0,3,2,3,1,2,0,0,1,0",29,23,23,25,26
"0,3,2,3,1,2,0,1,1,1,1",28,23,23,24,26
"0,3,2,1,0,3,1,0,2,1,0",37,24,24,24,24
"0,0,2,1,1,1,1,3,2,3,2",22,19,21,21,21
"0,0,0,3,0,2,3,1,2,2,0",28,22,22,22,24
"0,0,0,0,0,0,1,2,2,1,3",18,18,18,18,18
"3,2,0,3,2,0,0,3,0,3,0",30,22,22,26,22
"1,3,2,1,3,2,1,3,1,3,1",31,23,23,27,23
"2,1,2,3,1,0,1,3,0,0,3",30,24,24,27,27
"0,3,2,3,1,2,0,0,0,1,0",29,23,23,25,26
"0,0,0,0,0,0,0,0,1,0,0",13,12,12,12,12
"3,2,1,2,1,1,1,3,2,2,3",27,22,25,25,25
"0,0,0,0,0,0,0,0,0,2,3",16,16,16,16,16
"3,0,1,2,0,1,3,0,2,1,0",37,24,24,24,24
"1,2,1,2,0,3,1,3,0,1,1",29,23,23,27,23
"0,0,0,0,0,0,1,2,3,3,2",18,18,18,18,18
"3,0,1,2,0,1,0,3,2,1,0",37,24,24,24,24
"0,0,1,3,0,0,2,3,1,2,2",27,22,22,22,24
"0,0,0,0,0,0,0,0,1,2,2",14,14,14,14,14
"0,0,0,0,0,0,0,0,1,1,1",12,12,12,12,12
"1,0,0,3,0,2,3,1,2,2,2",27,22,22,22,24
"1,1,1,1,3,1,2,3,0,2,2",26,22,22,22,24
"2,0,2,1,3,0,3,1,0,3,0",31,23,23,27,23
"2,1,2,3,1,0,0,3,1,1,3",29,24,24,27,27
"1,2,0,2,1,3,0,3,1,0,0",30,23,23,27,23
"3,0,2,0,3,0,2,3,2,2,3",28,22,23,26,23
"0,0,0,0,0,0,1,1,3,3,1",16,16,16,16,16
"3,0,0,0,0,0,0,2,3,1,2",25,21,21,21,23
"2,3,1,1,2,1,1,3,2,3,2",28,22,25,25,25
"0,3,2,1,1,1,3,2,2,3,3",25,21,24,24,24
"0,3,2,1,2,3,1,3,1,1,1",27,21,23,24,24
"3,1,0,2,1,0,0,3,2,1,0",37,24,24,24,24
"0,1,0,3,2,3,1,2,0,1,1",30,24,24,25,27
"3,2,1,1,2,1,1,3,2,3,2",28,22,25,25,25
"3,0,0,2,3,0,2,3,0,0,3",29,22,22,26,22
"3,1,0,0,2,3,1,0,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,2,2,1,3",18,18,18,18,18
"0,0,0,0,0,0,0,0,2,3,3",16,16,16,16,16
"0,0,3,0,0,0,0,2,3,1,2",25,21,21,21,23
"0,3,1,2,0,1,3,0,2,1,0",37,24,24,24,24
"2,0,3,0,3,2,1,0,1,2,0",32,25,25,30,25
"2,3,1,2,1,1,1,3,2,2,3",27,22,25,25,25
"1,0,3,2,3,1,2,0,0,1,1",30,24,24,26,27
"3,2,1,1,1,3,2,2,0,3,3",29,24,27,27,27
"0,0,0,0,0,0,0,2,2,0,1",16,16,16,16,16
"3,2,1,1,1,3,2,2,3,1,3",28,23,26,26,26
"2,3,0,2,3,0,2,3,0,0,3",31,23,23,27,23
"3,0,2,3,0,2,0,3,0,0,3",29,22,22,26,22
"0,1,1,3,2,3,0,2,1,1,0",29,24,24,26,27
"0,0,0,0,0,0,0,0,1,3,3",15,15,15,15,15
"0,0,2,1,1,1,3,2,2,2,3",21,19,21,21,21
"0,0,0,0,0,0,0,0,2,3,0",18,16,16,16,16
"0,0,1,1,3,1,2,3,0,2,2",26,22,22,22,24
"0,0,3,0,0,2,3,1,2,2,2",25,21,21,21,23
"3,2,1,2,3,1,3,0,1,0,1",33,25,26,29,29
"3,2,0,3,2,3,1,0,1,2,0",36,27,28,32,29
"0,1,1,1,3,1,1,2,3,0,2",26,22,22,22,24
"0,3,1,0,2,1,0,3,2,1,0",37,24,24,24,24
"3,2,1,1,1,1,3,2,0,3,2",31,24,27,27,27
"0,3,2,3,1,2,0,0,1,1,1",28,23,23,25,26
"0,1,3,0,0,0,2,3,1,2,2",27,22,22,22,24
"0,3,1,2,0,1,0,3,2,1,0",37,24,24,24,24
"0,0,0,0,0,0,0,1,1,0,2",15,15,15,15,15
"0,0,0,0,0,0,1,1,2,2,2",14,14,14,14,14
"3,2,1,2,3,1,1,1,1,3,3",26,21,23,24,24
"2,0,2,1,3,0,1,3,0,3,0",31,23,23,27,23
"0,0,3,0,2,3,1,2,2,0,0",28,22,22,22,24
"0,0,1,3,0,2,3,1,2,2,2",27,22,22,22,24
"0,0,1,3,1,2,3,0,2,2,2",26,22,22,22,24
"3,2,1,1,1,3,2,2,2,0,3",29,24,27,27,27
"0,0,0,0,0,0,0,0,0,1,1",12,12,12,12,12
"0,0,0,0,0,0,0,0,2,2,0",14,14,14,14,14
"0,0,0,0,3,0,2,3,1,2,2",25,21,21,21,23
"3,2,1,0,2,3,1,0,2,1,0",41,26,26,26,26
"1,3,2,0,3,2,0,3,0,0,3",31,23,23,27,23
"0,0,0,0,0,0,0,0,0,3,1",16,15,15,15,15
"3,2,1,1,3,2,2,2,3,3,3",25,21,23,24,24
"3,0,0,0,0,0,2,3,1,2,2",25,21,21,21,23
